Total,Generation,PersonalityTrait,Likes,DisLikes,Bonus,combinedDecision
4b,4b,Brave,Spicy,Sweet,8b,grass none
2b,4b,Relaxed,Sour,Sweet,2b,water none
4b,4b,Bold,Sour,Spicy,14b,water none
2b,4b,Naive,Sweet,Dry,1b,water flying
2b,4b,Timid,Sweet,Spicy,4b,grass ice
4b,4b,Adamant,Spicy,Dry,4b,grass ice
6b,4b,Adamant,Spicy,Dry,10b,grass ice
5b,4b,Lonely,Spicy,Sour,8b,dark ice
5b,4b,Bold,Sour,Spicy,9b,electric steel
5b,4b,Adamant,Spicy,Dry,7b,normal none
5b,4b,Lonely,Spicy,Sour,14b,ground rock
5b,4b,Lonely,Spicy,Sour,1b,grass none
5b,4b,Brave,Spicy,Sweet,2b,electric none
5b,4b,Adamant,Spicy,Dry,8b,fire none
5b,4b,Impish,Sour,Dry,2b,fairy flying
5b,4b,Adamant,Spicy,Dry,6b,bug flying
5b,4b,?,?,?,9b,grass none
5b,4b,Lax,Sour,Bitter,6b,ice none
5b,4b,Adamant,Spicy,Dry,13b,ground flying
5b,4b,Lonely,Spicy,Sour,12b,ice ground
5b,4b,Adamant,Spicy,Dry,2b,normal none
5b,4b,Lonely,Spicy,Sour,0b,psychic fighting
6b,4b,Lonely,Spicy,Sour,7b,psychic fighting
5b,4b,Impish,Sour,Dry,2b,rock steel
5b,4b,Brave,Spicy,Sweet,5b,ghost none
4b,4b,Naughty,Spicy,Bitter,10b,ice ghost
4b,4b,Relaxed,Sour,Sweet,14b,electric ghost
5b,4b,Bold,Sour,Spicy,12b,electric fire
5b,4b,Bold,Sour,Spicy,7b,electric water
5b,4b,Bold,Sour,Spicy,2b,electric ice
5b,4b,Lax,Sour,Bitter,5b,electric flying
5b,4b,Relaxed,Sour,Sweet,10b,electric grass
6b,4b,Naughty,Spicy,Bitter,15b,psychic none
6b,4b,Adamant,Spicy,Dry,9b,psychic none
6b,4b,Naughty,Spicy,Bitter,6b,psychic none
7b,4b,Naughty,Spicy,Bitter,9b,steel dragon
7b,4b,Naughty,Spicy,Bitter,9b,water dragon
6b,4b,Naughty,Spicy,Bitter,10b,fire steel
7b,4b,Naughty,Spicy,Bitter,8b,normal none
7b,4b,Adamant,Spicy,Dry,0b,ghost dragon
7b,4b,Naughty,Spicy,Bitter,8b,ghost dragon
6b,4b,Relaxed,Sour,Sweet,2b,psychic none
4b,4b,Lonely,Spicy,Sour,2b,water none
6b,4b,Adamant,Spicy,Dry,2b,water none
6b,4b,Naughty,Spicy,Bitter,14b,dark none
6b,4b,Naughty,Spicy,Bitter,15b,grass none
6b,4b,Naughty,Spicy,Bitter,1b,grass flying
8b,4b,Lonely,Spicy,Sour,6b,normal none
6b,5b,Naughty,Spicy,Bitter,8b,psychic fire
2b,5b,Brave,Sour,Sweet,2b,grass none
3b,5b,Bold,Sour,Spicy,6b,grass none
5b,5b,Lonely,Spicy,Sour,4b,grass none
2b,5b,Impish,Sour,Dry,1b,fire none
3b,5b,Lonely,Spicy,Sour,5b,fire fighting
5b,5b,Adamant,Spicy,Dry,10b,fire fighting
2b,5b,Jolly,Sweet,Sweet,15b,water none
3b,5b,Naughty,Spicy,Bitter,2b,water none
5b,5b,Lonely,Spicy,Sour,13b,water none
1b,5b,Modest,Sweet,Spicy,2b,normal none
3b,5b,Lonely,Spicy,Sour,6b,normal none
1b,5b,Brave,Sour,Sweet,3b,normal none
3b,5b,Brave,Spicy,Sweet,13b,normal none
4b,5b,Naughty,Spicy,Bitter,14b,normal none
1b,5b,Bold,Bitter,Spicy,10b,dark none
4b,5b,Adamant,Spicy,Dry,0b,dark none
2b,5b,Lax,Sweet,Bitter,1b,grass none
4b,5b,Lonely,Spicy,Sour,15b,grass none
2b,5b,Timid,Sour,Spicy,11b,fire none
4b,5b,Adamant,Spicy,Dry,13b,fire none
2b,5b,Timid,Sour,Spicy,13b,water none
4b,5b,Adamant,Spicy,Dry,14b,water none
2b,5b,Timid,Sweet,Spicy,3b,psychic none
4b,5b,Relaxed,Sour,Sweet,13b,psychic none
1b,5b,Adamant,Sweet,Dry,12b,normal flying
2b,5b,Brave,Spicy,Sweet,4b,normal flying
4b,5b,Adamant,Spicy,Dry,12b,normal flying
2b,5b,Modest,Sour,Spicy,12b,electric none
4b,5b,Lonely,Spicy,Sour,8b,electric none
1b,5b,Naughty,Spicy,Bitter,8b,rock none
3b,5b,Naughty,Spicy,Bitter,6b,rock none
5b,5b,Naughty,Spicy,Bitter,10b,rock none
2b,5b,Modest,Sour,Spicy,4b,psychic flying
3b,5b,Jolly,Sweet,Sweet,3b,psychic flying
2b,5b,Brave,Spicy,Sweet,6b,ground none
5b,5b,Naughty,Spicy,Bitter,10b,ground steel
4b,5b,Relaxed,Sour,Sweet,4b,normal none
5b,5b,Bold,Sour,Spicy,13b,normal fairy
2b,5b,Naughty,Spicy,Bitter,2b,fighting none
3b,5b,Lonely,Spicy,Sour,0b,fighting none
5b,5b,Brave,Spicy,Sweet,7b,fighting none
2b,5b,Relaxed,Dry,Sweet,12b,water none
3b,5b,Jolly,Sweet,Sweet,6b,water ground
5b,5b,Adamant,Spicy,Dry,5b,water ground
4b,5b,Naughty,Spicy,Bitter,13b,fighting none
4b,5b,Brave,Spicy,Sweet,8b,fighting none
2b,5b,Lax,Sour,Bitter,9b,bug grass
3b,5b,Bold,Sour,Spicy,5b,bug grass
4b,5b,Naughty,Spicy,Bitter,5b,bug grass
1b,5b,Timid,Sour,Spicy,14b,bug poison
2b,5b,Impish,Sour,Dry,9b,bug poison
4b,5b,Lonely,Spicy,Sour,4b,bug poison
1b,5b,Brave,Sour,Sweet,5b,grass fairy
4b,5b,Impish,Sour,Dry,10b,grass fairy
1b,5b,Timid,Sweet,Spicy,13b,grass none
4b,5b,Bold,Sour,Spicy,4b,grass none
4b,5b,Adamant,Spicy,Dry,5b,water none
2b,5b,Brave,Spicy,Sweet,11b,ground dark
2b,5b,Lonely,Spicy,Sour,9b,ground dark
5b,5b,Adamant,Spicy,Dry,7b,ground dark
2b,5b,Brave,Spicy,Sweet,5b,fire none
4b,5b,Brave,Spicy,Sweet,11b,fire none
5b,5b,Lax,Sour,Bitter,8b,fire psychic
4b,5b,Brave,Spicy,Sweet,14b,grass none
2b,5b,Relaxed,Sour,Sweet,10b,bug rock
4b,5b,Adamant,Spicy,Dry,1b,bug rock
2b,5b,Brave,Spicy,Sweet,14b,dark fighting
4b,5b,Adamant,Spicy,Dry,15b,dark fighting
4b,5b,Bold,Sour,Spicy,14b,psychic flying
2b,5b,Lax,Sour,Bitter,12b,ghost none
4b,5b,Impish,Sour,Dry,2b,ghost none
2b,5b,Brave,Spicy,Sweet,10b,water rock
4b,5b,Adamant,Spicy,Dry,4b,water rock
3b,5b,Lonely,Spicy,Sour,6b,rock flying
5b,5b,Naughty,Spicy,Bitter,0b,rock flying
2b,5b,Sassy,Bitter,Sweet,9b,poison none
4b,5b,Naughty,Spicy,Bitter,0b,poison none
2b,5b,Hasty,Sweet,Sour,3b,dark none
5b,5b,Naughty,Spicy,Bitter,9b,dark none
2b,5b,Bold,Sour,Spicy,15b,normal none
4b,5b,Adamant,Spicy,Dry,15b,normal none
1b,5b,Rash,Dry,Bitter,7b,psychic none
3b,5b,Bold,Sour,Spicy,4b,psychic none
4b,5b,Bold,Sour,Spicy,11b,psychic none
1b,5b,Naive,Sweet,Dry,5b,psychic none
3b,5b,Timid,Sweet,Spicy,14b,psychic none
4b,5b,Relaxed,Sour,Sweet,1b,psychic none
2b,5b,Sassy,Sweet,Sweet,3b,water flying
4b,5b,Lonely,Spicy,Sour,3b,water flying
2b,5b,Hasty,Sweet,Sour,3b,ice none
3b,5b,Lax,Sour,Bitter,3b,ice none
5b,5b,Lonely,Spicy,Sour,6b,ice none
2b,5b,Sassy,Dry,Sweet,4b,normal grass
4b,5b,Adamant,Spicy,Dry,11b,normal grass
3b,5b,Naughty,Spicy,Bitter,15b,electric flying
2b,5b,Adamant,Spicy,Dry,13b,bug none
4b,5b,Adamant,Spicy,Dry,5b,bug steel
2b,5b,Lax,Dry,Bitter,13b,grass poison
4b,5b,Adamant,Spicy,Dry,9b,grass poison
2b,5b,Timid,Sweet,Spicy,15b,water ghost
4b,5b,Lax,Sour,Bitter,11b,water ghost
4b,5b,Adamant,Spicy,Dry,11b,water none
2b,5b,Relaxed,Dry,Sweet,6b,bug electric
4b,5b,Brave,Spicy,Sweet,7b,bug electric
2b,5b,Impish,Sour,Dry,5b,grass steel
4b,5b,Lonely,Spicy,Sour,3b,grass steel
2b,5b,Relaxed,Sour,Sweet,6b,steel none
4b,5b,Naughty,Spicy,Bitter,3b,steel none
5b,5b,Lonely,Spicy,Sour,8b,steel none
1b,5b,Modest,Sweet,Spicy,7b,electric none
3b,5b,Lonely,Spicy,Sour,10b,electric none
5b,5b,Lonely,Spicy,Sour,15b,electric none
2b,5b,Hasty,Sweet,Sour,14b,psychic none
4b,5b,Lonely,Spicy,Sour,1b,psychic none
1b,5b,Hasty,Sweet,Sour,12b,ghost fire
3b,5b,Hasty,Sweet,Sour,6b,ghost fire
5b,5b,Bold,Sour,Spicy,6b,ghost fire
2b,5b,Brave,Spicy,Sweet,11b,dragon none
3b,5b,Lonely,Spicy,Sour,2b,dragon none
5b,5b,Lonely,Spicy,Sour,6b,dragon none
2b,5b,Naive,Sweet,Dry,12b,ice none
4b,5b,Lonely,Spicy,Sour,0b,ice none
4b,5b,Timid,Sweet,Spicy,4b,ice none
2b,5b,Relaxed,Sour,Sweet,4b,bug none
4b,5b,Jolly,Sweet,Sweet,7b,bug none
4b,5b,Impish,Sour,Dry,15b,ground electric
2b,5b,Lonely,Spicy,Sour,11b,fighting none
5b,5b,Adamant,Spicy,Dry,11b,fighting none
4b,5b,Brave,Spicy,Sweet,4b,dragon none
2b,5b,Naughty,Spicy,Bitter,7b,ground ghost
4b,5b,Lonely,Spicy,Sour,9b,ground ghost
2b,5b,Lonely,Spicy,Sour,13b,dark steel
4b,5b,Lonely,Spicy,Sour,11b,dark steel
4b,5b,Naughty,Spicy,Bitter,12b,normal none
2b,5b,Adamant,Spicy,Dry,3b,normal flying
5b,5b,Naughty,Spicy,Bitter,11b,normal flying
3b,5b,Bold,Sour,Spicy,10b,dark flying
5b,5b,Impish,Sour,Dry,2b,dark flying
4b,5b,Lonely,Spicy,Sour,12b,fire none
4b,5b,Naughty,Spicy,Bitter,4b,bug steel
2b,5b,Impish,Sweet,Dry,8b,dark dragon
3b,5b,Brave,Spicy,Sweet,4b,dark dragon
6b,5b,Naughty,Spicy,Bitter,15b,dark dragon
2b,5b,Adamant,Spicy,Dry,15b,bug fire
5b,5b,Lax,Sour,Bitter,13b,bug fire
6b,5b,Adamant,Spicy,Dry,8b,steel fighting
6b,5b,Naughty,Spicy,Bitter,6b,rock fighting
6b,5b,Adamant,Spicy,Dry,3b,grass fighting
6b,5b,Naughty,Spicy,Bitter,5b,flying none
6b,5b,Naughty,Spicy,Bitter,11b,flying none
6b,5b,Brave,Spicy,Sweet,13b,electric flying
6b,5b,Brave,Spicy,Sweet,9b,electric flying
7b,5b,Brave,Spicy,Sweet,7b,dragon fire
7b,5b,Naughty,Spicy,Bitter,14b,dragon electric
6b,5b,Naughty,Spicy,Bitter,14b,ground flying
6b,5b,Adamant,Spicy,Dry,8b,ground flying
7b,5b,Lonely,Spicy,Sour,12b,dragon ice
7b,5b,Naughty,Spicy,Bitter,2b,dragon ice
7b,5b,Naughty,Spicy,Bitter,0b,dragon ice
6b,5b,Brave,Spicy,Sweet,0b,water fighting
6b,5b,Brave,Spicy,Sweet,3b,water fighting
6b,5b,Lonely,Spicy,Sour,1b,normal psychic
6b,5b,Brave,Spicy,Sweet,7b,normal fighting
6b,5b,Naughty,Spicy,Bitter,7b,bug steel
2b,6b,Bold,Sour,Spicy,5b,grass none
3b,6b,Brave,Spicy,Sweet,9b,grass none
5b,6b,Lonely,Spicy,Sour,2b,grass fighting
2b,6b,Hasty,Sweet,Sour,7b,fire none
3b,6b,Naive,Sweet,Dry,5b,fire none
5b,6b,Lax,Sour,Bitter,15b,fire psychic
2b,6b,Jolly,Sweet,Sweet,4b,water none
3b,6b,Naive,Sweet,Dry,12b,water none
5b,6b,Brave,Spicy,Sweet,13b,water dark
1b,6b,Rash,Dry,Bitter,6b,normal none
3b,6b,Bold,Sour,Spicy,15b,normal ground
1b,6b,Quiet,Sour,Sweet,7b,normal flying
3b,6b,Brave,Spicy,Sweet,7b,fire flying
4b,6b,Lonely,Spicy,Sour,1b,fire flying
0b,6b,Gentle,Dry,Sour,7b,bug none
0b,6b,Hasty,Dry,Sour,10b,bug none
3b,6b,Jolly,Sweet,Sweet,13b,bug flying
3b,6b,Jolly,Sweet,Sweet,8b,fire normal
5b,6b,Impish,Sour,Dry,8b,fire normal
2b,6b,Naive,Sweet,Dry,2b,fairy none
3b,6b,Naive,Sweet,Dry,6b,fairy none
5b,6b,Relaxed,Sour,Sweet,0b,fairy none
2b,6b,Timid,Sweet,Spicy,5b,grass none
5b,6b,Adamant,Spicy,Dry,14b,grass none
2b,6b,Lonely,Spicy,Sour,7b,fighting none
4b,6b,Lonely,Spicy,Sour,9b,fighting dark
4b,6b,Lonely,Spicy,Sour,0b,normal none
2b,6b,Jolly,Sweet,Sweet,5b,psychic none
4b,6b,Bold,Sour,Spicy,7b,psychic none
4b,6b,Bold,Sour,Spicy,5b,psychic none
2b,6b,Naughty,Spicy,Bitter,10b,steel ghost
4b,6b,Adamant,Spicy,Dry,1b,steel ghost
5b,6b,Lonely,Spicy,Sour,14b,steel ghost
5b,6b,Bold,Sour,Spicy,12b,steel ghost
2b,6b,Naive,Sweet,Dry,9b,fairy none
4b,6b,Adamant,Spicy,Dry,4b,fairy none
2b,6b,Bold,Sour,Spicy,9b,fairy none
4b,6b,Naughty,Spicy,Bitter,4b,fairy none
1b,6b,Lonely,Bitter,Sour,4b,dark psychic
4b,6b,Adamant,Spicy,Dry,15b,dark psychic
2b,6b,Bold,Sour,Spicy,13b,rock water
4b,6b,Lonely,Spicy,Sour,5b,rock water
2b,6b,Naive,Sweet,Dry,10b,poison water
4b,6b,Brave,Spicy,Sweet,14b,poison dragon
2b,6b,Careful,Bitter,Dry,10b,water none
4b,6b,Adamant,Spicy,Dry,4b,water none
1b,6b,Jolly,Sweet,Sweet,4b,electric normal
4b,6b,Naive,Sweet,Dry,12b,electric normal
3b,6b,Naughty,Spicy,Bitter,7b,rock dragon
5b,6b,Naughty,Spicy,Bitter,9b,rock dragon
3b,6b,Naive,Sweet,Dry,0b,rock ice
5b,6b,Naughty,Spicy,Bitter,11b,rock ice
5b,6b,Bold,Sour,Spicy,13b,fairy none
4b,6b,Brave,Spicy,Sweet,12b,fighting flying
4b,6b,Jolly,Sweet,Sweet,13b,electric fairy
4b,6b,Relaxed,Sour,Sweet,6b,rock fairy
2b,6b,Mild,Dry,Sour,0b,dragon none
4b,6b,Lonely,Spicy,Sour,6b,dragon none
6b,6b,Lonely,Spicy,Sour,12b,dragon none
4b,6b,Lonely,Spicy,Sour,3b,steel fairy
2b,6b,Lonely,Sweet,Sour,10b,ghost grass
4b,6b,Naughty,Spicy,Bitter,9b,ghost grass
2b,6b,Relaxed,Sour,Sweet,11b,ghost grass
2b,6b,Bold,Sour,Spicy,0b,ghost grass
2b,6b,Lax,Sour,Bitter,14b,ghost grass
2b,6b,Impish,Sour,Dry,13b,ghost grass
4b,6b,Brave,Spicy,Sweet,13b,ghost grass
4b,6b,Naughty,Spicy,Bitter,6b,ghost grass
4b,6b,Brave,Spicy,Sweet,11b,ghost grass
4b,6b,Lonely,Spicy,Sour,1b,ghost grass
2b,6b,Lax,Sour,Bitter,7b,ice none
5b,6b,Naughty,Spicy,Bitter,1b,ice none
1b,6b,Brave,Dry,Sweet,6b,flying dragon
5b,6b,Lax,Sour,Bitter,3b,flying dragon
7b,6b,Lonely,Spicy,Sour,10b,fairy none
7b,6b,Brave,Spicy,Sweet,10b,dark flying
6b,6b,Naughty,Spicy,Bitter,6b,dragon ground
6b,6b,Lonely,Spicy,Sour,4b,rock fairy
7b,6b,Naughty,Spicy,Bitter,0b,rock fairy
6b,6b,Lonely,Spicy,Sour,13b,psychic ghost
7b,6b,Brave,Spicy,?,1b,psychic dark
6b,6b,Adamant,Spicy,Dry,13b,fire water
